pair,detector,nms_D,raw_left,raw_right,nms_left,nms_right,corresponding,corr_pct
1,Harris,10,1227491,1228273,12288,12288,11493,93.5
1,SIFT,10,3675,4359,1964,2401,855,43.5
1,ORB,10,8000,8000,1579,1540,431,27.3
1,KAZE,10,4953,5691,2783,3053,1439,51.7
7,Harris,10,1227869,1228507,12288,12288,11595,94.4
7,SIFT,10,6040,5653,2923,3134,1662,56.9
7,ORB,10,8000,8000,1652,1674,516,31.2
7,KAZE,10,5406,6000,2855,3097,1373,48.1
13,Harris,10,1228162,1228127,12288,12288,11307,92.0
13,SIFT,10,4460,4219,2288,2138,929,40.6
13,ORB,10,8000,8000,1428,1476,436,30.5
13,KAZE,10,5098,5132,2772,2803,1481,53.4
